,subject_id,channel,band,band_power,total_power_1_45Hz,rel_power,z
17,b3c2.2,A1_L,line_noise,0.07251132329049077,-0.16211552726575912,-0.4472817904211085,-4.856527064758407
246,b1c1.3,S1_L,delta,0.12131192551965295,-0.009153879858333613,-13.252514496267025,-5.832302172364982
247,b1c1.3,S1_L,theta,0.15587143409572032,-0.009153879858333613,-17.02790909515994,-5.912905264623586
248,b1c1.3,S1_L,alpha,0.1379365796073177,-0.009153879858333613,-15.068646491109607,-5.714925387520396
249,b1c1.3,S1_L,beta,0.05195481381256371,-0.009153879858333613,-5.675715064718104,-3.770043649630961
250,b1c1.3,S1_L,gamma,0.042652635870605145,-0.009153879858333613,-4.659514493384415,-4.322843571679618
251,b1c1.3,S1_L,line_noise,0.030067402288376205,-0.009153879858333613,-3.2846621054353364,-6.098549058205725
258,b1c1.3,A1_R,delta,0.10496394324735343,0.04927543897878084,2.1301472989931836,5.385024754752452
259,b1c1.3,A1_R,theta,0.14484112100108515,0.04927543897878084,2.939418176740285,5.48115820236436
260,b1c1.3,A1_R,alpha,0.13455582192810805,0.04927543897878084,2.730687432050092,5.206753134578196
261,b1c1.3,A1_R,beta,0.06302858594858675,0.04927543897878084,1.2791075484021226,5.049651932345301
262,b1c1.3,A1_R,gamma,0.04142165229472196,0.04927543897878084,0.8406145770220148,4.756495029560034
263,b1c1.3,A1_R,line_noise,0.035264296241557504,0.04927543897878084,0.7156566632870209,5.484217856122348
612,b1c1.4,PMC_R,delta,0.09375607603764496,-0.019583756603613202,-4.787440833509286,-5.3684315983124025
613,b1c1.4,PMC_R,theta,0.14189721733912036,-0.019583756603613202,-7.245658747256915,-5.506639626161817
614,b1c1.4,PMC_R,alpha,0.1674690921280946,-0.019583756603613202,-8.551428386175743,-5.951131646159184
615,b1c1.4,PMC_R,beta,0.09475664556014245,-0.019583756603613202,-4.838532641008205,-5.21196559984829
616,b1c1.4,PMC_R,gamma,0.05320761333585885,-0.019583756603613202,-2.716925787672527,-4.527134395356568
617,b1c1.4,PMC_R,line_noise,0.022257889492052547,-0.019583756603613202,-1.1365485153112027,-4.807876714212186
732,b3c1.4,A1_L,delta,0.11159338646365514,0.0727899921404218,1.533086942067205,4.82077255120846
733,b3c1.4,A1_L,theta,0.15664978123344253,0.0727899921404218,2.1520785567780223,5.055447974257362
734,b3c1.4,A1_L,alpha,0.18149954123366155,0.0727899921404218,2.493468344982429,5.630943098920474
735,b3c1.4,A1_L,beta,0.05961597539210274,0.0727899921404218,0.8190133511361756,4.520089245010645
736,b3c1.4,A1_L,gamma,0.06167807583645614,0.0727899921404218,0.847342801156933,4.935859078981604
740,b3c1.4,A1_R,alpha,0.18582979862901436,-0.09343895372347889,-1.9887829563990498,-3.6470194534754783
744,b3c1.4,ACA_R,delta,0.1322056930061478,-0.037857330394902515,-3.4922085531934197,-3.168958495405914
746,b3c1.4,ACA_R,alpha,0.15568082468339844,-0.037857330394902515,-4.112303299240584,-3.1108597912474147
1290,b2c2.3,PCA_R,delta,0.09927685609475104,-0.02431811075406315,-4.082424703907705,-5.801249465024269
1291,b2c2.3,PCA_R,theta,0.12796607272601282,-0.02431811075406315,-5.2621716390789866,-5.712136353226857
1292,b2c2.3,PCA_R,alpha,0.12449264467749814,-0.02431811075406315,-5.119338666417477,-5.726496576712284
1293,b2c2.3,PCA_R,beta,0.11341120011261982,-0.02431811075406315,-4.66365176388839,-6.2442575995873115
1294,b2c2.3,PCA_R,gamma,0.06084921693664426,-0.02431811075406315,-2.5022181020570184,-6.2623798783457145
1295,b2c2.3,PCA_R,line_noise,0.027692422041182996,-0.02431811075406315,-1.1387571313102953,-5.923126823189999
1416,b1c1.2,ACA_R,delta,0.09215463442896879,0.02056367202460105,4.481428915940739,4.539581582012416
1417,b1c1.2,ACA_R,theta,0.1413005104812882,0.02056367202460105,6.871365693454233,4.812573311262662
1418,b1c1.2,ACA_R,alpha,0.13175527590133568,0.02056367202460105,6.407186213810071,5.052311832762429
1419,b1c1.2,ACA_R,beta,0.12539137508276083,0.02056367202460105,6.09771323588271,5.686082104461968
1420,b1c1.2,ACA_R,gamma,0.07538698909638662,0.02056367202460105,3.6660275949839356,5.74306874584334
1421,b1c1.2,ACA_R,line_noise,0.02043330015563218,0.02056367202460105,0.9936600881003693,5.5093286518844
1431,b1c1.2,PMC_R,beta,0.11442061082453539,-0.034142454194224986,-3.3512708305511625,-3.5359155949034173
1432,b1c1.2,PMC_R,gamma,0.08832339709451842,-0.034142454194224986,-2.5869082694546854,-4.299005150683674
1433,b1c1.2,PMC_R,line_noise,0.029240233567598285,-0.034142454194224986,-0.8564186218500988,-3.5489982965226643
1440,b2c4.2,AI_L,delta,0.10442498181567418,0.017174869715542607,6.080103287256586,6.131242550262806
1441,b2c4.2,AI_L,theta,0.14942998058707427,0.017174869715542607,8.700501550346306,6.15684521002374
1442,b2c4.2,AI_L,alpha,0.12238716419709367,0.017174869715542607,7.1259442560043365,6.205454060220686
1443,b2c4.2,AI_L,beta,0.12129192202501334,0.017174869715542607,7.0621742134817325,6.285196291643423
1444,b2c4.2,AI_L,gamma,0.07801322747838303,0.017174869715542607,4.542289331475046,6.268751874101923
1445,b2c4.2,AI_L,line_noise,0.02229786115300529,0.017174869715542607,1.2982841513392425,6.191469180258959
1470,b2c4.2,AI_R,delta,0.12039576916158397,0.01793318724837522,6.713573415260695,6.257821601973042
1471,b2c4.2,AI_R,theta,0.17936871902921822,0.01793318724837522,10.002054656818986,6.287763865521262
1472,b2c4.2,AI_R,alpha,0.12862304724193144,0.01793318724837522,7.172347305612667,6.22340840851102
1473,b2c4.2,AI_R,beta,0.10989044741509345,0.01793318724837522,6.127770032906433,6.282069110868563
1474,b2c4.2,AI_R,gamma,0.0555476737508724,0.01793318724837522,3.0974791586980794,6.228298281397806
1475,b2c4.2,AI_R,line_noise,0.016247220941334663,0.01793318724837522,0.9059862430648903,5.938123505257699
1704,b2c2.1,ACA_R,delta,0.12747846120086398,-0.037948519575721595,-3.3592472809511427,-3.0404177510101924
2025,b1c1.1,S1_L,beta,0.14641368909706307,0.01909081587924529,7.669325922117225,5.197982441678485
2026,b1c1.1,S1_L,gamma,0.09439701518521079,0.01909081587924529,4.9446296995528165,4.713482027697589
